attendance,study_hours,previous_marks,assignment_score,internal_marks,sleep_hours,internet_hours,stress_level,parent_support,tuition,final_marks,grade,risk_level
83,6.9,58,84,50,6.3,5.9,3,Yes,No,94.99,A,Low
94,2.0,60,41,36,5.7,8.0,7,No,Yes,53.99,D,Medium
91,5.4,62,40,37,8.7,2.6,5,Yes,Yes,86.69,B,Low
96,1.0,37,61,35,6.2,2.1,10,Yes,No,51.52,D,Medium
42,4.5,72,86,36,7.2,7.8,7,Yes,Yes,71.52,C,Low
76,7.6,95,67,30,9.3,6.9,2,No,Yes,91.53,A,Low
90,3.5,85,89,10,9.1,6.8,4,No,No,58.97,D,Medium
46,6.6,82,48,37,9.2,5.5,1,Yes,Yes,100.0,A,Low
60,8.0,55,85,24,4.9,5.6,5,No,Yes,76.61,B,Low
48,9.3,88,43,26,3.2,7.4,8,Yes,Yes,74.99,C,Low
78,2.3,90,62,35,4.8,2.7,1,No,No,77.58,B,Low
57,4.0,93,39,29,5.0,3.5,7,Yes,Yes,61.76,C,Low
43,1.5,85,93,34,9.4,8.7,7,No,Yes,50.64,D,Medium
64,9.9,54,93,22,7.5,3.1,7,Yes,Yes,100.0,A,Low
99,9.3,93,91,42,3.6,5.5,1,Yes,No,100.0,A,Low
53,5.4,43,97,34,3.9,7.0,3,No,Yes,74.08,C,Low
89,8.4,35,72,17,4.1,10.0,2,Yes,No,71.44,C,Low
97,5.2,63,88,14,7.4,4.4,5,Yes,No,77.21,B,Low
48,6.2,97,81,15,8.1,4.3,2,No,Yes,90.13,A,Low
65,0.9,90,48,32,9.0,8.4,5,Yes,No,64.73,C,Low
92,7.6,69,50,39,9.6,8.1,5,Yes,Yes,79.19,B,Low
41,1.3,37,51,23,4.4,7.3,4,No,Yes,22.5,F,High
59,8.3,41,38,32,5.2,4.6,7,Yes,No,51.88,D,Medium
67,7.8,61,38,20,4.7,3.2,10,Yes,Yes,47.22,D,Medium
86,7.1,35,56,40,5.5,6.1,6,No,No,61.65,C,Low
99,0.4,78,46,15,9.4,8.8,2,No,No,44.3,D,Medium
46,3.0,75,73,20,7.0,8.8,4,Yes,No,52.54,D,Medium
83,2.6,76,74,22,8.2,1.1,7,Yes,Yes,66.12,C,Low
100,3.6,67,37,21,6.4,4.3,9,No,No,39.55,F,High
47,0.9,84,47,11,3.2,4.6,9,Yes,Yes,35.42,F,High
86,9.4,97,62,44,3.4,9.8,3,Yes,Yes,85.82,B,Low
74,5.5,71,30,45,6.8,6.8,1,No,Yes,79.2,B,Low
53,3.1,93,35,26,8.0,4.1,9,Yes,Yes,66.55,C,Low
56,4.0,82,70,37,4.5,0.3,8,Yes,Yes,75.08,B,Low
75,4.5,39,84,37,8.1,5.7,7,Yes,No,58.98,D,Medium
89,6.0,82,34,31,8.7,1.0,6,Yes,No,94.84,A,Low
79,5.2,37,88,47,5.9,8.3,10,Yes,No,43.34,D,Medium
43,9.2,81,47,16,8.2,7.5,7,Yes,Yes,62.17,C,Low
41,5.0,96,78,24,5.8,4.6,9,No,Yes,54.53,D,Medium
45,9.9,48,94,41,7.7,4.3,6,No,No,92.5,A,Low
93,8.5,97,83,20,8.3,9.0,10,Yes,No,59.77,D,Medium
81,2.1,95,90,33,9.9,2.9,3,Yes,No,98.82,A,Low
43,9.3,65,37,12,5.4,2.5,3,No,No,68.89,C,Low
93,1.2,51,32,39,5.9,9.4,4,Yes,Yes,53.57,D,Medium
68,8.2,58,54,15,4.2,8.1,10,Yes,Yes,57.18,D,Medium
57,3.8,57,98,11,4.4,8.2,10,No,Yes,22.87,F,High
65,8.8,84,84,23,7.9,2.0,8,Yes,Yes,93.75,A,Low
83,8.7,61,69,50,9.4,1.4,10,Yes,No,95.13,A,Low
73,8.1,49,79,27,5.8,0.3,9,No,Yes,75.98,B,Low
49,7.9,84,62,40,4.3,2.4,8,Yes,Yes,82.44,B,Low
75,3.0,70,47,22,5.0,7.7,10,Yes,Yes,45.01,D,Medium
53,0.8,42,86,35,6.2,2.4,2,Yes,Yes,64.76,C,Low
70,4.0,37,45,21,5.0,7.3,4,Yes,Yes,41.78,D,Medium
87,1.7,96,67,27,4.6,2.5,4,No,Yes,78.89,B,Low
54,6.9,81,70,18,8.2,4.0,2,No,No,85.79,B,Low
47,3.5,95,36,30,3.1,9.8,8,Yes,Yes,43.2,D,Medium
53,9.8,66,82,49,6.8,2.4,3,Yes,Yes,100.0,A,Low
62,6.4,47,92,33,8.6,3.8,2,No,Yes,98.32,A,Low
99,8.2,35,61,43,4.9,3.0,7,Yes,Yes,76.05,B,Low
96,1.3,68,67,17,7.2,1.1,1,Yes,Yes,83.73,B,Low
79,8.6,96,51,42,7.7,4.9,6,Yes,No,100.0,A,Low
60,9.2,65,45,32,7.6,3.8,3,Yes,Yes,83.77,B,Low
55,4.9,98,81,22,6.1,6.9,3,Yes,No,73.64,C,Low
84,6.1,59,58,23,5.4,8.2,5,Yes,Yes,50.63,D,Medium
57,7.6,72,45,23,8.9,5.4,3,No,Yes,73.92,C,Low
86,1.7,48,46,25,8.3,0.3,4,No,No,59.24,D,Medium
92,5.0,42,93,47,5.2,6.2,3,Yes,Yes,75.89,B,Low
63,4.0,88,42,48,3.7,0.6,7,Yes,Yes,62.82,C,Low
65,1.5,36,85,35,3.5,6.2,3,Yes,Yes,51.78,D,Medium
64,3.7,90,34,35,3.7,6.9,10,Yes,Yes,50.22,D,Medium
99,0.7,95,41,10,7.1,2.0,4,Yes,Yes,58.98,D,Medium
99,0.3,56,70,41,3.4,8.2,2,Yes,No,52.93,D,Medium
99,1.4,69,32,24,5.4,9.1,2,Yes,Yes,46.86,D,Medium
84,9.6,50,62,30,8.3,8.1,9,Yes,No,59.96,D,Medium
80,5.5,84,79,27,5.1,3.1,1,No,Yes,100.0,A,Low
68,9.7,77,85,39,8.3,5.9,1,Yes,Yes,100.0,A,Low
54,4.3,51,38,22,8.2,9.1,10,Yes,Yes,28.54,F,High
84,3.1,92,79,33,4.7,3.2,1,Yes,Yes,84.15,B,Low
40,5.1,36,58,39,8.1,8.2,3,Yes,Yes,59.17,D,Medium
64,4.4,38,68,11,8.2,0.1,2,No,Yes,63.93,C,Low
46,1.1,73,74,28,5.8,0.0,3,Yes,No,68.31,C,Low
48,6.4,40,46,34,4.5,7.6,5,No,No,55.82,D,Medium
63,2.2,54,85,23,6.6,7.6,9,Yes,No,29.21,F,High
40,6.2,98,75,15,9.4,7.9,2,No,Yes,75.97,B,Low
83,6.5,50,96,21,7.5,9.3,1,Yes,No,79.15,B,Low
47,1.5,85,98,29,4.2,1.2,6,Yes,Yes,64.46,C,Low
63,0.6,71,43,32,7.8,2.3,3,Yes,No,55.96,D,Medium
50,7.8,76,96,39,6.0,9.0,7,Yes,Yes,67.03,C,Low
90,4.6,91,52,39,7.1,1.8,6,Yes,Yes,100.0,A,Low
56,0.6,100,90,47,8.1,6.8,7,Yes,No,70.71,C,Low
47,9.9,43,52,39,6.6,5.3,5,No,Yes,73.94,C,Low
74,0.6,98,56,50,8.7,0.8,1,Yes,No,89.74,B,Low
74,7.0,56,83,39,8.1,2.9,3,Yes,Yes,91.05,A,Low
72,9.8,68,39,45,7.3,5.2,3,Yes,Yes,100.0,A,Low
98,2.4,89,45,43,4.1,8.5,7,Yes,No,52.46,D,Medium
44,1.4,63,70,25,8.9,7.1,3,Yes,No,42.86,D,Medium
81,1.2,72,84,33,9.6,6.2,5,Yes,No,57.38,D,Medium
78,3.0,52,90,23,4.0,5.0,4,Yes,Yes,66.41,C,Low
97,1.0,99,78,35,6.4,3.0,4,No,Yes,74.9,C,Low
80,6.9,35,81,17,4.8,1.2,7,Yes,Yes,59.38,D,Medium
67,0.6,38,31,23,8.3,4.1,1,Yes,Yes,50.07,D,Medium
46,5.1,38,79,40,8.1,0.3,7,Yes,No,68.91,C,Low
48,10.0,61,72,11,4.0,2.1,8,Yes,Yes,78.42,B,Low
47,8.1,77,37,13,9.1,4.3,3,Yes,Yes,91.21,A,Low
51,6.2,93,88,10,4.3,4.2,3,Yes,No,58.9,D,Medium
73,3.1,66,94,29,8.6,0.4,4,Yes,Yes,81.59,B,Low
72,6.2,67,41,23,6.2,5.9,6,Yes,No,60.36,C,Low
87,5.3,62,33,49,5.3,5.5,7,Yes,No,66.94,C,Low
94,4.3,89,70,34,4.1,0.8,1,Yes,Yes,100.0,A,Low
62,1.3,94,36,34,4.2,9.4,4,Yes,Yes,48.95,D,Medium
63,8.9,96,98,12,7.6,1.0,7,Yes,Yes,99.68,A,Low
76,4.5,68,98,14,6.9,8.5,2,Yes,No,67.35,C,Low
74,1.9,90,59,47,3.9,0.0,1,No,Yes,84.6,B,Low
83,3.7,47,35,35,3.8,8.8,1,No,No,51.67,D,Medium
79,4.1,90,48,49,3.5,0.2,10,Yes,Yes,83.24,B,Low
61,8.3,52,95,47,8.2,7.6,6,Yes,No,86.28,B,Low
66,7.3,88,39,47,8.0,3.6,5,Yes,No,78.66,B,Low
74,7.7,77,45,13,3.4,7.4,1,Yes,No,61.81,C,Low
40,0.1,73,66,16,6.9,4.0,10,No,Yes,28.94,F,High
74,4.2,95,61,39,3.6,0.7,3,Yes,Yes,93.39,A,Low
76,4.8,76,76,39,9.3,7.7,7,No,Yes,76.19,B,Low
86,0.2,52,72,28,9.3,0.7,9,Yes,Yes,62.26,C,Low
53,2.6,57,65,48,7.9,9.2,9,No,Yes,47.36,D,Medium
42,7.6,88,55,44,9.5,0.5,6,No,No,100.0,A,Low
40,1.4,64,39,49,8.7,4.8,3,No,No,62.55,C,Low
44,5.4,92,60,42,8.8,7.2,1,Yes,Yes,87.49,B,Low
65,2.2,52,58,42,7.0,3.9,3,No,No,61.15,C,Low
94,0.1,41,34,23,5.1,2.2,10,Yes,Yes,21.76,F,High
53,2.4,74,30,47,4.5,7.6,2,No,Yes,69.65,C,Low
78,9.8,99,32,19,5.3,7.8,5,Yes,No,66.31,C,Low
66,8.0,83,96,37,7.4,9.2,8,Yes,No,61.63,C,Low
48,9.6,86,100,23,4.2,3.8,5,No,Yes,100.0,A,Low
54,4.9,63,64,45,4.8,5.1,1,No,No,74.61,C,Low
54,1.1,55,44,47,6.3,3.6,3,No,No,63.11,C,Low
65,5.5,43,96,25,4.6,2.6,5,Yes,Yes,78.61,B,Low
81,4.5,81,59,30,7.1,7.5,7,No,Yes,68.01,C,Low
99,8.4,76,72,37,9.5,3.4,5,No,No,100.0,A,Low
52,1.0,85,89,42,8.2,4.3,10,Yes,No,63.63,C,Low
90,4.9,90,69,15,7.7,4.0,5,No,Yes,54.23,D,Medium
71,1.5,85,94,50,7.1,7.1,7,Yes,Yes,64.64,C,Low
78,3.2,54,58,24,6.4,9.2,8,Yes,No,14.28,F,High
88,7.4,61,48,12,4.3,6.7,8,Yes,No,43.04,D,Medium
91,4.8,72,32,44,9.3,4.7,7,Yes,Yes,73.69,C,Low
100,3.8,99,65,23,4.7,7.8,3,Yes,Yes,71.82,C,Low
71,3.9,88,72,11,3.6,6.4,2,Yes,No,52.47,D,Medium
43,4.6,58,44,38,8.3,0.6,1,Yes,No,81.48,B,Low
69,7.9,81,70,13,4.2,1.0,6,Yes,No,74.71,C,Low
76,8.9,97,65,35,5.6,0.4,9,Yes,No,99.76,A,Low
62,9.6,91,62,21,3.2,4.6,3,Yes,No,93.87,A,Low
78,7.9,89,34,11,4.0,8.3,5,Yes,No,59.86,D,Medium
84,3.2,94,43,26,4.2,3.1,9,Yes,No,60.89,C,Low
54,6.9,96,97,44,3.4,3.8,9,No,No,81.93,B,Low
82,4.4,64,76,19,7.6,9.1,7,No,No,53.35,D,Medium
68,2.5,56,83,31,8.9,8.4,4,Yes,No,71.46,C,Low
75,8.4,63,33,50,5.6,6.7,2,Yes,No,69.43,C,Low
52,0.4,75,38,30,9.1,2.7,2,Yes,Yes,74.47,C,Low
71,9.0,76,82,24,4.5,1.2,4,Yes,Yes,89.68,B,Low
46,4.6,99,89,44,5.3,0.2,1,No,Yes,100.0,A,Low
98,6.4,65,75,30,4.1,1.1,4,Yes,Yes,94.29,A,Low
90,6.6,64,83,30,7.3,2.9,6,Yes,Yes,93.27,A,Low
61,9.0,52,66,30,5.9,5.5,6,Yes,No,73.64,C,Low
67,6.4,51,52,41,7.3,0.6,7,No,Yes,78.86,B,Low
41,6.1,72,56,14,8.3,1.4,5,Yes,Yes,76.95,B,Low
81,0.7,48,99,48,6.8,1.8,9,Yes,Yes,64.38,C,Low
84,5.2,90,95,18,7.4,6.3,2,Yes,Yes,71.35,C,Low
96,1.5,56,90,27,9.5,6.2,2,Yes,No,67.14,C,Low
92,7.4,90,80,30,5.1,5.5,4,No,Yes,83.31,B,Low
45,5.1,53,79,17,5.5,2.5,4,Yes,Yes,60.38,C,Low
67,6.8,91,48,43,8.0,3.7,4,Yes,No,87.25,B,Low
67,0.4,78,30,19,7.3,1.0,1,Yes,Yes,48.63,D,Medium
83,0.8,69,69,50,4.2,2.3,4,Yes,No,69.5,C,Low
83,7.2,35,61,33,5.6,9.0,5,Yes,Yes,63.16,C,Low
59,0.7,86,51,49,6.3,9.8,9,Yes,Yes,51.64,D,Medium
69,0.7,71,95,33,5.9,6.5,3,Yes,Yes,59.62,D,Medium
50,0.1,99,69,41,4.2,9.2,3,Yes,Yes,70.42,C,Low
97,9.6,85,67,42,9.5,6.4,5,Yes,Yes,100.0,A,Low
94,7.4,35,77,47,8.3,0.3,10,No,Yes,76.53,B,Low
67,3.5,55,84,43,6.4,10.0,6,No,No,45.84,D,Medium
64,3.0,87,84,20,7.8,1.0,3,No,No,91.37,A,Low
78,3.5,50,80,40,9.3,6.8,1,Yes,Yes,87.23,B,Low
72,7.7,95,89,27,4.0,2.5,10,Yes,Yes,80.63,B,Low
40,6.6,88,37,32,4.8,3.9,8,Yes,No,71.99,C,Low
96,1.9,74,97,31,6.8,6.5,1,Yes,Yes,69.56,C,Low
66,1.7,60,38,27,8.6,4.4,2,No,Yes,51.98,D,Medium
96,1.0,99,31,49,3.3,2.5,3,No,Yes,57.26,D,Medium
91,6.6,98,99,50,9.9,3.3,6,No,No,100.0,A,Low
52,7.6,77,88,48,6.2,3.4,4,Yes,Yes,95.18,A,Low
80,2.7,51,48,29,5.5,9.6,4,No,No,35.71,F,High
42,0.2,93,57,22,5.0,8.0,9,No,Yes,13.23,F,High
78,0.8,57,43,10,4.2,4.6,6,Yes,Yes,34.0,F,High
45,9.7,41,53,13,8.5,2.0,2,Yes,Yes,84.41,B,Low
47,3.0,78,73,33,9.7,8.1,7,Yes,Yes,47.86,D,Medium
66,7.7,87,85,45,5.9,1.6,3,Yes,Yes,100.0,A,Low
48,6.2,68,80,45,9.7,2.1,9,No,No,80.27,B,Low
76,3.8,80,61,11,8.8,3.7,6,Yes,Yes,67.91,C,Low
72,2.1,50,79,37,6.4,8.8,8,Yes,No,54.47,D,Medium
90,1.2,53,70,35,7.7,1.3,1,Yes,Yes,90.74,A,Low
81,6.2,36,95,32,6.0,1.2,2,Yes,Yes,87.39,B,Low
83,7.7,44,54,24,6.9,4.9,6,Yes,Yes,65.09,C,Low
63,6.4,84,90,45,3.4,2.8,3,No,Yes,85.4,B,Low
54,5.3,46,95,36,7.9,5.7,1,Yes,No,72.72,C,Low
98,0.4,56,71,15,3.4,4.5,6,No,No,39.03,F,High
93,9.7,66,94,44,8.7,4.3,5,No,No,91.84,A,Low
71,8.0,35,65,48,8.8,1.1,9,Yes,Yes,87.66,B,Low
71,2.9,88,38,47,4.7,1.4,6,No,Yes,71.59,C,Low
63,9.8,92,65,44,5.3,8.2,5,Yes,No,86.54,B,Low
80,6.0,52,67,45,6.4,8.9,1,Yes,No,68.43,C,Low
91,5.8,40,62,19,7.2,2.3,1,Yes,Yes,66.05,C,Low
88,7.5,79,71,39,5.0,1.1,1,Yes,Yes,100.0,A,Low
88,8.1,57,90,50,7.1,0.5,7,Yes,No,100.0,A,Low
97,6.6,57,75,47,5.1,6.1,6,No,No,80.43,B,Low
91,1.3,60,90,38,3.4,7.2,5,Yes,Yes,71.15,C,Low
51,3.4,41,47,48,3.0,3.7,4,Yes,Yes,65.68,C,Low
78,9.3,78,99,13,3.7,6.8,8,No,No,70.19,C,Low
41,2.2,61,44,14,8.5,7.1,8,No,Yes,39.32,F,High
42,3.7,60,77,13,9.7,9.4,5,Yes,Yes,49.56,D,Medium
88,4.3,70,42,45,6.0,0.6,4,Yes,Yes,98.16,A,Low
76,4.4,89,72,25,6.6,1.9,2,Yes,Yes,88.21,B,Low
88,6.1,98,89,34,4.0,0.7,7,Yes,No,99.72,A,Low
95,9.4,91,86,23,6.9,8.7,5,Yes,Yes,93.93,A,Low
56,2.4,95,100,20,4.0,7.9,3,No,No,52.32,D,Medium
98,1.2,36,46,38,7.3,5.7,9,Yes,Yes,54.88,D,Medium
88,2.0,89,79,43,9.5,0.8,9,Yes,No,71.63,C,Low
41,8.9,72,61,31,4.4,2.7,10,No,Yes,63.12,C,Low
41,6.5,63,51,23,8.4,3.0,8,Yes,Yes,75.57,B,Low
67,2.9,60,84,33,3.2,5.6,1,Yes,No,74.32,C,Low
93,8.2,69,86,48,5.6,2.6,3,Yes,Yes,100.0,A,Low
62,8.6,63,42,35,3.8,0.7,2,No,Yes,94.67,A,Low
76,8.5,68,76,45,5.5,7.3,4,No,Yes,93.14,A,Low
71,9.2,75,91,48,4.2,3.0,2,No,Yes,100.0,A,Low
72,2.5,75,83,25,5.6,4.5,8,Yes,Yes,59.98,D,Medium
40,7.6,57,58,47,5.9,1.3,1,No,No,86.68,B,Low
58,4.6,37,51,41,5.1,8.0,4,Yes,Yes,66.56,C,Low
41,8.4,92,94,15,7.6,5.7,5,Yes,Yes,84.17,B,Low
92,7.3,66,58,43,9.4,9.0,10,Yes,Yes,64.88,C,Low
83,7.8,65,77,17,5.8,5.0,4,Yes,Yes,82.02,B,Low
65,6.6,77,34,39,4.3,9.4,8,Yes,No,57.15,D,Medium
71,1.8,41,64,36,4.9,8.9,2,Yes,No,49.81,D,Medium
45,5.5,35,100,16,9.0,5.8,9,Yes,Yes,59.13,D,Medium
71,9.8,95,75,36,7.0,9.3,2,Yes,No,96.16,A,Low
94,9.4,48,64,34,6.2,3.2,2,No,Yes,96.08,A,Low
43,0.4,86,74,50,4.0,3.7,2,No,Yes,64.65,C,Low
94,1.6,40,42,24,6.1,0.5,10,Yes,Yes,46.07,D,Medium
50,1.3,44,39,34,4.9,5.9,8,Yes,Yes,25.83,F,High
95,7.3,64,95,31,9.6,7.2,3,Yes,Yes,90.43,A,Low
98,8.2,55,99,27,9.2,7.7,10,Yes,Yes,83.42,B,Low
56,2.1,94,54,21,3.6,1.5,10,No,Yes,47.14,D,Medium
77,5.1,97,73,32,6.6,4.4,8,Yes,Yes,91.15,A,Low
63,8.4,76,89,48,4.6,1.8,7,Yes,No,100.0,A,Low
44,7.3,85,76,34,5.9,6.6,10,Yes,Yes,71.98,C,Low
91,5.4,98,69,19,9.1,1.6,4,No,Yes,93.33,A,Low
73,5.9,90,36,39,6.7,9.0,7,Yes,Yes,66.29,C,Low
45,5.1,75,75,19,5.3,2.3,8,Yes,No,68.6,C,Low
61,3.0,66,52,43,4.5,2.9,6,Yes,Yes,70.55,C,Low
50,5.7,49,75,22,8.6,8.5,6,No,Yes,58.13,D,Medium
87,6.9,96,42,38,7.4,4.6,3,No,No,84.58,B,Low
55,8.7,61,50,47,6.3,0.2,5,Yes,No,87.11,B,Low
72,6.4,62,30,50,4.5,4.9,10,No,No,61.52,C,Low
48,7.6,98,48,18,5.3,0.8,2,No,Yes,94.97,A,Low
99,1.6,93,89,22,9.7,9.9,5,No,No,55.05,D,Medium
98,4.6,92,62,46,6.6,5.9,5,No,No,84.98,B,Low
45,0.1,36,33,23,5.8,2.6,7,Yes,No,18.23,F,High
55,2.5,70,32,46,6.6,5.6,4,Yes,No,68.66,C,Low
68,7.3,47,81,18,8.5,0.8,6,No,Yes,86.62,B,Low
42,9.9,49,57,17,5.4,8.0,9,Yes,No,57.97,D,Medium
59,1.0,94,99,48,4.3,9.3,4,No,Yes,64.84,C,Low
99,4.0,56,99,49,7.1,8.7,6,Yes,Yes,86.24,B,Low
98,8.0,97,84,12,7.7,3.4,9,Yes,Yes,77.21,B,Low
75,2.0,59,86,49,8.0,3.3,10,Yes,Yes,72.89,C,Low
58,5.6,82,45,42,9.2,0.4,1,No,Yes,100.0,A,Low
65,7.3,77,53,41,5.6,6.5,8,Yes,No,75.41,B,Low
42,6.2,72,98,16,3.5,5.3,1,Yes,Yes,69.88,C,Low
58,1.9,75,70,28,9.7,4.6,4,No,Yes,65.48,C,Low
59,3.6,79,76,43,6.0,9.1,3,No,Yes,65.65,C,Low
71,7.8,74,98,23,7.4,1.7,4,Yes,Yes,84.64,B,Low
46,5.5,51,60,28,7.7,0.1,7,Yes,No,59.38,D,Medium
91,0.1,91,59,35,6.8,0.7,9,Yes,No,71.39,C,Low
80,7.6,36,47,26,4.4,2.2,9,No,Yes,54.62,D,Medium
72,0.4,96,73,37,8.3,0.3,10,Yes,No,75.15,B,Low
79,7.5,43,56,28,8.6,5.0,1,Yes,Yes,95.8,A,Low
78,2.0,51,55,36,6.9,3.1,10,Yes,No,51.57,D,Medium
57,9.6,84,89,28,6.4,1.8,1,Yes,Yes,100.0,A,Low
79,3.7,74,47,42,3.8,7.5,9,Yes,No,57.45,D,Medium
40,3.3,92,85,16,3.6,2.0,4,Yes,Yes,71.51,C,Low
50,1.5,55,60,38,5.4,6.9,3,No,No,45.51,D,Medium
67,3.1,52,88,14,5.2,3.5,9,Yes,Yes,39.31,F,High
96,8.8,89,31,39,9.7,5.1,5,Yes,Yes,97.19,A,Low
64,10.0,63,68,17,8.5,9.3,6,Yes,No,61.62,C,Low
89,3.7,58,90,21,7.6,0.4,1,No,Yes,92.72,A,Low
62,4.5,51,92,22,6.6,5.0,1,Yes,No,83.37,B,Low
70,7.2,52,47,35,4.2,8.5,7,Yes,No,62.24,C,Low
69,8.9,76,46,27,9.8,5.9,10,Yes,Yes,76.69,B,Low
81,5.9,79,68,29,5.6,2.8,8,Yes,Yes,75.4,B,Low
74,3.9,51,100,25,3.7,4.0,8,No,No,53.36,D,Medium
46,4.1,48,83,46,6.5,6.8,7,Yes,No,55.81,D,Medium
99,7.0,83,64,12,9.1,8.9,9,Yes,Yes,62.4,C,Low
55,0.0,63,40,36,9.2,0.4,1,No,Yes,61.48,C,Low
65,6.2,38,90,24,3.1,0.7,2,Yes,Yes,87.46,B,Low
87,3.6,54,73,43,9.2,3.3,3,Yes,Yes,93.71,A,Low
96,7.9,81,97,31,4.9,2.3,5,Yes,Yes,100.0,A,Low
91,0.9,43,54,49,3.3,2.6,4,Yes,No,65.26,C,Low
99,5.9,61,77,32,8.9,2.2,4,Yes,No,95.1,A,Low
88,4.8,49,61,13,9.0,2.0,8,Yes,No,49.25,D,Medium
41,6.4,53,33,50,7.2,1.3,8,No,Yes,64.11,C,Low
40,0.6,86,67,32,7.0,9.3,7,Yes,Yes,45.2,D,Medium
87,5.8,60,92,18,8.7,1.4,1,Yes,No,100.0,A,Low
51,5.6,60,76,33,8.5,2.0,10,Yes,No,65.66,C,Low
44,5.6,60,30,30,9.2,2.5,4,Yes,No,70.59,C,Low
76,6.0,80,32,50,6.9,9.3,1,No,Yes,81.53,B,Low
71,6.8,83,91,25,9.8,7.6,5,Yes,Yes,70.4,C,Low
98,8.0,87,93,34,10.0,7.9,3,No,Yes,100.0,A,Low
94,2.7,37,46,35,3.8,1.0,3,Yes,Yes,63.5,C,Low
48,8.3,100,91,18,8.9,8.4,4,Yes,No,88.64,B,Low
80,5.0,76,64,24,6.5,4.1,2,Yes,Yes,82.25,B,Low
74,0.8,53,42,48,5.7,2.6,7,Yes,No,52.52,D,Medium
58,0.6,51,64,42,7.3,5.8,4,Yes,Yes,55.59,D,Medium
87,3.3,67,72,10,3.4,8.2,5,No,Yes,37.23,F,High
55,7.8,83,31,14,6.5,7.8,2,Yes,No,55.31,D,Medium
42,7.1,90,85,18,9.1,8.9,6,No,Yes,74.53,C,Low
59,7.9,97,80,15,4.5,9.3,9,Yes,No,52.48,D,Medium
